PPFL_GEL

THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED

LIST OF INSURED POLICIES

Update as of  4-May-26

Policies which are eligible for Policy Owners' Protection Scheme protection under the Deposit Insurance and Policies Owners' Protection Schemes Act 2011.

(Refer to 2nd schedule of the Act for the types of policies under each category)

1  PAYCARE RIDER 55

1  PAYCARE RIDER 55 (ESCALATION)

1  PAYCARE RIDER 55 (LEVEL)

1  PAYCARE RIDER 60
1  PAYCARE RIDER 60 (ESCALATION)

1  PAYCARE RIDER 60 (LEVEL)

1  PAYCARE RIDER 65 (ESCALATION)

1  PAYCARE RIDER 65 (LEVEL)

1  PAYER BEN W ANN BEN RIDER PLUS

1  PAYER BEN WITH ANNUAL BEN R30

1  PAYER BEN WITH ANNUAL BEN RIDER

1  PAYER BENEFIT (LA) RIDER

1  PAYER BENEFIT (LIVING ASSURANCE) RIDER II

1  PAYER BENEFIT (LIVING ASSURANCE) RIDER III

1  PAYER BENEFIT ENHANCED (CI) RIDER

1  PAYER BENEFIT ENHANCED RIDER

1  PAYER BENEFIT PLUS (CI) RIDER

1  PAYER BENEFIT RIDER

1  PAYER BENEFIT RIDER (ILP) (LA) III

1  PAYER BENEFIT RIDER (ILP) III

1  PAYER BENEFIT RIDER 30

1  PAYER BENEFIT RIDER III

1  PAYER BENEFIT RIDER PLUS

1  PAYER PREMIUM WAIVER RIDER

1  PAYSECURE POLICY

1  PAYSECURE RIDER

1  PERSONAL ACCIDENT BENEFIT (PACKAGE 1)

1  PERSONAL ACCIDENT BENEFIT (PACKAGE 2)

1  PERSONAL ACCIDENT BENEFIT (PACKAGE 3)

1  PERSONAL ACCIDENT PROTECTOR PLUS POLICY

1  PERSONAL ACCIDENT PROTECTOR POLICY

1  PREGNANCY RISK COVER

1  PREMIER HEALTH PLAN

1  PREMIER MEDICASH TERM ASSURANCE WITHOUT PROFITS

1  PREMIUM WAIVER (CI) BENEFITS

1  PREMIUM WAIVER (OWN LIFE)

1  PREMIUM WAIVER BENEFIT

1  PREMIUM WAIVER BENEFITS

1  PREMIUM WAIVER BENEFITS RIDER

1  PREMIUM WAIVER BENEFITS RIDER (SPP)
1  PREMIUM WAIVER CI (PAYER) RIDER

1  PREMIUM WAIVER CI RIDER

1  PREMIUM WAIVER CRITICAL ILLNESS RIDER (PAYER)

1  PREMIUM WAIVER DREAD DISEASE

1  PREMIUM WAIVER DREAD DISEASE BENEFIT

1  PREMIUM WAIVER ENHANCED (CI) RIDER

1  PREMIUM WAIVER ENHANCED (E&I) RIDER

1  PREMIUM WAIVER ENHANCED (PMA-CI) RIDER

1  PREMIUM WAIVER PLUS (CI) RIDER

1  PREMIUM WAIVER RIDER

1  PREMIUM WAIVER RIDER (ILP)

1  PREMIUM WAIVER RIDER (OWN LIFE)

1  PREMIUM WAIVER RIDER (PAYER)

1  PREMIUM WAIVER TPD (OWN LIFE) RIDER

1  PREMIUM WAIVER(CI) BENEFITS

1  PRESTIGE GLOBAL MEDICARE

1  PRESTIGE PACARE

1  Recovery Cash Rider

1  ROBINSONCARE

1  SAN [NOTE: SCHEDULE REFLECTS AS SAN INSURANCE]

1  SMART EARLY CRITICAL CARE PAYER BENEFIT RIDER

1  SMART EARLY CRITICAL CARE PREMIUM WAIVER RIDER

1  SUPREME HEALTH

1  SUPREME MEDICASH

1  SUPREMEHEALTH PLAN

1  TAKE-ON ACCIDENT

1  TOTAL HEALTH

1  TOTAL HEALTH PLUS

1  TRIPLE ACCIDENT PROTECTION PLAN

1  TRIPLE ACCIDENT PROTECTOR INSURANCE POLICY

1  UNEMPLOYMENT COVER (RP)

1  WAIVER OF PREMIUM

1  WAIVER OF PREMIUM (DISABILITY)

1  WAIVER OF PREMIUM 30

1  WAIVER OF PREMIUM 30 II

1  WAIVER OF PREMIUM BENEFIT RIDER
2  05 YEARS MAXTERM

2  05 YEARS MAXTERM (CI)

2  05 YEARS MAXTERM ENHANCED

2  05 YEARS MAXTERM ENHANCED(CI)

2  06 YEARS MAXTERM

2  06 YEARS MAXTERM (CI)

2  06 YEARS MAXTERM ENHANCED

2  07 YEARS MAXTERM

2  07 YEARS MAXTERM (CI)

2  07 YEARS MAXTERM ENHANCED

2  07 YEARS MAXTERM ENHANCED(CI)

2  08 YEARS MAXTERM

2  08 YEARS MAXTERM (CI)

2  08 YEARS MAXTERM ENHANCED

2  08 YEARS MAXTERM ENHANCED(CI)

2  09 YEARS MAXTERM

2  09 YEARS MAXTERM (CI)

2  10 YEAR NON-PAR SINGLE PREMIUM ENDOWMENT (10 YEAR CASHBACK ENDOWMENT)

2  10 YEAR NON-PAR SP ENDOWMENT

2  10 YEARS DIAMOND INVESTMENT SPECIAL WITH PROFITS

2  10 YEARS DIAMOND SAVER'S SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  10 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS

2  10 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS & DREAD DISEASE BENEFITS

2  10 YEARS JUNIOR EDUCARE SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  10 YEARS JUNIOR EDUCARE WITH COMPOUND REVERSIONARY BONUS

2  10 YEARS MAXEDU CHOICE

2  10 YEARS MAXEDU GOAL

2  10 YEARS MAXTERM

2  10 YEARS MAXTERM - CONVERTIBLE

2  10 YEARS MAXTERM - LEVEL

2  10 YEARS MAXTERM (CI)

2  10 YEARS MAXTERM ENHANCED

2  10 YEARS MAXTERM ENHANCED(CI)

2  10 YEARS OCBC-OAC MORTGAGE PROTECTOR (BASIC)

2  10 YEARS OCBC-OAC MORTGAGE PROTECTOR (PREMIUM)

2  10 YEARS PREMIER CONVERTIBLE TERM ASSURANCE WITHOUT PROFITS
2  10 YEARS PREMIER DIAMOND INVESTMENT WITH PROFITS

2  10 YEARS PREMIER DIAMOND SAVER WITH COMPOUND REVERSIONARY BONUS

2  10 YEARS PREMIER ENHANCED INVESTMENT PLUS WITH COMPOUND REVERSIONARY BONUS

2  10 YEARS PREMIER ENHANCED INVESTMENT WITH COMPOUND REVERSIONARY BONUS

2  10 YEARS PREMIER TERM ASSURANCE WITHOUT PROFITS

2  10 YEARS TERM ASSURANCE (NON-PARTICIPATING) WITH LIVING ASSURANCE BENEFIT

2  11 YEARS DIAMOND INVESTMENT SPECIAL WITH PROFITS

2  11 YEARS DIAMOND SAVER'S SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  11 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS

2  11 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS & DREAD DISEASE BENEFITS

2  11 YEARS JUNIOR EDUCARE SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  11 YEARS JUNIOR EDUCARE WITH COMPOUND REVERSIONARY BONUS

2  11 YEARS MAXEDU CHOICE

2  11 YEARS MAXEDU GOAL

2  11 YEARS MAXTERM

2  11 YEARS MAXTERM - CONVERTIBLE

2  11 YEARS MAXTERM - LEVEL

2  11 YEARS MAXTERM (CI)

2  11 YEARS MAXTERM ENHANCED

2  11 YEARS MAXTERM ENHANCED(CI)

2  11 YEARS OCBC-OAC MORTGAGE PROTECTOR (BASIC)

2  11 YEARS OCBC-OAC MORTGAGE PROTECTOR (PREMIUM)

2  11 YEARS PREMIER CONVERTIBLE TERM ASSURANCE WITHOUT PROFITS

2  11 YEARS PREMIER DIAMOND INVESTMENT WITH PROFITS

2  11 YEARS PREMIER DIAMOND SAVER WITH COMPOUND REVERSIONARY BONUS

2  11 YEARS PREMIER ENHANCED INVESTMENT PLUS WITH COMPOUND REVERSIONARY BONUS

2  11 YEARS PREMIER ENHANCED INVESTMENT WITH COMPOUND REVERSIONARY BONUS

2  11 YEARS PREMIER TERM ASSURANCE WITHOUT PROFITS

2  11 YEARS TERM ASSURANCE (NON-PARTICIPATING) WITH LIVING ASSURANCE BENEFIT

2  12 YEARS DIAMOND INVESTMENT SPECIAL WITH PROFITS

2  12 YEARS DIAMOND SAVER'S SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  12 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS

2  12 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS & DREAD DISEASE BENEFITS

2  12 YEARS JUNIOR EDUCARE SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  12 YEARS JUNIOR EDUCARE WITH COMPOUND REVERSIONARY BONUS

2  12 YEARS MAXEDU CHOICE
2  12 YEARS MAXEDU GOAL

2  12 YEARS MAXTERM

2  12 YEARS MAXTERM - CONVERTIBLE

2  12 YEARS MAXTERM - LEVEL

2  12 YEARS MAXTERM (CI)

2  12 YEARS MAXTERM ENHANCED

2  12 YEARS MAXTERM ENHANCED(CI)

2  12 YEARS OCBC-OAC MORTGAGE PROTECTOR (BASIC)

2  12 YEARS OCBC-OAC MORTGAGE PROTECTOR (PREMIUM)

2  12 YEARS PREMIER CONVERTIBLE TERM ASSURANCE WITHOUT PROFITS

2  12 YEARS PREMIER DIAMOND INVESTMENT WITH PROFITS

2  12 YEARS PREMIER DIAMOND SAVER WITH COMPOUND REVERSIONARY BONUS

2  12 YEARS PREMIER ENHANCED INVESTMENT PLUS WITH COMPOUND REVERSIONARY BONUS

2  12 YEARS PREMIER ENHANCED INVESTMENT WITH COMPOUND REVERSIONARY BONUS

2  12 YEARS PREMIER TERM ASSURANCE WITHOUT PROFITS

2  12 YEARS TERM ASSURANCE (NON-PARTICIPATING) WITH LIVING ASSURANCE BENEFIT

2  13 YEARS DIAMOND INVESTMENT SPECIAL WITH PROFITS

2  13 YEARS DIAMOND SAVER'S SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  13 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS

2  13 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS & DREAD DISEASE BENEFITS

2  13 YEARS JUNIOR EDUCARE SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  13 YEARS JUNIOR EDUCARE WITH COMPOUND REVERSIONARY BONUS

2  13 YEARS MAXEDU CHOICE

2  13 YEARS MAXEDU GOAL

2  13 YEARS MAXTERM

2  13 YEARS MAXTERM - CONVERTIBLE

2  13 YEARS MAXTERM - LEVEL

2  13 YEARS MAXTERM (CI)

2  13 YEARS MAXTERM ENHANCED

2  13 YEARS OCBC-OAC MORTGAGE PROTECTOR (BASIC)

2  13 YEARS OCBC-OAC MORTGAGE PROTECTOR (PREMIUM)

2  13 YEARS PREMIER CONVERTIBLE TERM ASSURANCE WITHOUT PROFITS

2  13 YEARS PREMIER DIAMOND INVESTMENT WITH PROFITS

2  13 YEARS PREMIER DIAMOND SAVER WITH COMPOUND REVERSIONARY BONUS

2  13 YEARS PREMIER ENHANCED INVESTMENT PLUS WITH COMPOUND REVERSIONARY BONUS

2  13 YEARS PREMIER ENHANCED INVESTMENT WITH COMPOUND REVERSIONARY BONUS
2  13 YEARS PREMIER TERM ASSURANCE WITHOUT PROFITS

2  13 YEARS TERM ASSURANCE (NON-PARTICIPATING) WITH LIVING ASSURANCE BENEFIT

2  14 YEARS DIAMOND INVESTMENT SPECIAL WITH PROFITS

2  14 YEARS DIAMOND SAVER'S SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  14 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS

2  14 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS & DREAD DISEASE BENEFITS

2  14 YEARS JUNIOR EDUCARE SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  14 YEARS JUNIOR EDUCARE WITH COMPOUND REVERSIONARY BONUS

2  14 YEARS MAXEDU CHOICE

2  14 YEARS MAXEDU GOAL

2  14 YEARS MAXTERM

2  14 YEARS MAXTERM - CONVERTIBLE

2  14 YEARS MAXTERM - LEVEL

2  14 YEARS MAXTERM (CI)

2  14 YEARS MAXTERM ENHANCED

2  14 YEARS MAXTERM ENHANCED(CI)

